College,Country,Email Handle
Georgia Southern University Armstrong And Liberty Campuses,United States,georgiasouthern.edu
Georgia Southwestern State University,United States,gsw.edu
Georgia State University,United States,gsu.edu
Georgian Court University,United States,georgian.edu
Gettysburg College,United States,gettysburg.edu
Glenville State College,United States,glenville.edu
Goddard College,United States,goddard.edu
Goldey Beacom College,United States,gbc.edu
Goldfarb School Of Nursing At Barnes Jewish College,United States,bjc.org
Gonzaga University,United States,gonzaga.edu
Gordon College,United States,gordon.edu
Gordon State College,United States,gordonstate.edu
Goshen College,United States,goshen.edu
Goucher College,United States,goucher.edu
Governors State University,United States,govst.edu
Grace Bible College,United States,gbcol.edu
Grace College Seminary,United States,grace.edu
Graceland University,United States,graceland.edu
Grambling State University,United States,gram.edu
Grand Canyon University,United States,gcu.edu
Grand Valley State University,United States,gvsu.edu
Grand View University,United States,grandview.edu
Granite State College,United States,granite.edu
Great Basin College,United States,gbcnv.edu
Green Mountain College,United States,greenmtn.edu
Greensboro College,United States,greensboro.edu
Greenville University,United States,greenville.edu
Grinnell College,United States,grinnell.edu
Grove City College,United States,gcc.edu
Guilford College,United States,guilford.edu
Gustavus Adolphus College,United States,gustavus.edu
Gwynedd Mercy University,United States,gmercyu.edu
Hamilton College,United States,hamilton.edu
Hamline University Mn,United States,hamline.edu
Hampden Sydney College,United States,hsc.edu
Hampshire College,United States,hampshire.edu
Hampton University,United States,hamptonu.edu
Hannibal Lagrange University,United States,hlg.edu
Hanover College,United States,hanover.edu
Hardin Simmons University,United States,hsutx.edu
Harding University,United States,harding.edu
Harris Stowe State University,United States,hssu.edu
Harrisburg University Science And Technology,United States,HarrisburgU.edu
Hartwick College,United States,hartwick.edu
Harvard College,United States,fas.harvard.edu
Harvey Mudd College,United States,hmc.edu
Hastings College,United States,hastings.edu
Haverford College,United States,haverford.edu
Hawaii Pacific University,United States,hpu.edu
Heidelberg University,United States,heidelberg.edu
Hellenic College,United States,hchc.edu
Henderson State University,United States,hsu.edu
Hendrix College,United States,hendrix.edu
High Point University,United States,highpoint.edu
Hilbert College,United States,hilbert.edu
Hillsdale College,United States,hillsdale.edu
Hiram College,United States,hiram.edu
Hobart And William Smith Colleges,United States,hws.edu
Hodges University,United States,hodges.edu
Hofstra University,United States,hofstra.edu
Hollins University,United States,hollins.edu
Holy Cross College,United States,hcc-nd.edu
Holy Family University,United States,holyfamily.edu
Holy Names University,United States,hnu.edu
Hood College,United States,hood.edu
Hope College,United States,hope.edu
Houghton College,United States,houghton.edu
Houston Baptist University,United States,hbu.edu
Howard Payne University,United States,hputx.edu
Howard University,United States,howard.edu
Hult International Business School,United States,hult.edu
Humboldt State University,United States,humboldt.edu
Huntingdon College,United States,hawks.huntingdon.edu
Huntingdon College Of Health Sciences,United States,hchs.edu
Huntington University,United States,huntington.edu
Husson University,United States,husson.edu
Huston Tillotson University,United States,htu.edu
Idaho State University,United States,isu.edu
Ie University,United States,ie.edu
Illinois College,United States,mail.ic.edu
Illinois Institute Technology,United States,iit.edu
Illinois State University,United States,illinoisstate.edu
Illinois Wesleyan University,United States,iwu.edu
Immaculata University,United States,immaculata.edu
Indiana Institute Of Technology,United States,indianatech.edu
Indiana State University,United States,indstate.edu
Indiana University Bloomington,United States,indiana.edu
Indiana University East,United States,iue.edu
Indiana University Kokomo,United States,iuk.edu
Indiana University Northwest,United States,iun.edu
Indiana University Of Pennsylvania,United States,iup.edu
Indiana University South Bend,United States,iusb.edu
Indiana University Southeast,United States,ius.edu
Indiana Wesleyan University,United States,indwes.edu
Institute Of American Indian Arts,United States,iaia.edu
Inter American University Of Puerto Rico Aguadilla,United States,aguadilla.inter.edu
Inter American University Of Puerto Rico Fajardo,United States,fajardo.inter.edu
Inter American University Of Puerto Rico Guayama,United States,guayama.inter.edu
Inter American University Of Puerto Rico Ponce,United States,ponce.inter.edu
Inter American University Of Puerto Rico San German,United States,intersg.edu
Iona College,United States,iona.edu
Iowa State University,United States,iastate.edu
Iowa Wesleyan University,United States,iw.edu
IPFW,United States,ipfw.edu
Ithaca College,United States,ithaca.edu
IUPUI,United States,iupui.edu
Jackson State University,United States,jsums.edu
Jacksonville State University,United States,jsu.edu
Jacksonville University,United States,ju.edu
Jacobs University Bremen,United States,jacobs-university.de
James Madison University,United States,jmu.edu
Jarvis Christian College,United States,jarvis.edu
Jefferson College Health Sciences,United States,jchs.edu
Jefferson Philadelphia University Thomas Jefferson University,United States,philau.edu
John Brown University,United States,jbu.edu
John Cabot University Rome,United States,johncabot.edu
John Carroll University,United States,jcu.edu
John Paul The Great Catholic University,United States,jpcatholic.com
John Wesley University,United States,johnwesley.edu
Johns Hopkins University,United States,jhu.edu
Johnson C Smith University,United States,jcsu.edu
Johnson University,United States,johnsonu.edu
Johnson University Florida,United States,johnsonu.edu
Johnson Wales University,United States,jwu.edu
Judson College,United States,judson.edu
Judson University,United States,judsonu.edu
Juilliard School,United States,juilliard.edu
Juniata College,United States,juniata.edu
Kalamazoo College,United States,kzoo.edu
Kansas City Art Institute,United States,kcai.edu
Kansas State University,United States,k-state.edu
Kean University,United States,kean.edu
Keele University,United States,keele.ac.uk
Keene State College,United States,keene.edu
Kendall College,United States,kendall.edu
Kennesaw State University,United States,kennesaw.edu
Kent State University,United States,kent.edu
Kentucky Christian University,United States,kcu.edu
Kentucky Mountain Bible College,United States,kmbc.edu
Kentucky State University,United States,kysu.edu
Kentucky Wesleyan College,United States,kwc.edu
Kenyon College,United States,kenyon.edu
Kettering University,United States,kettering.edu
Keuka College,United States,keuka.edu
Keystone College,United States,keystone.edu
King University,United States,king.edu
Kings College,United States,kings.edu
Knox College,United States,knox.edu
Kutztown University Of Pennsylvania,United States,kutztown.edu
Kuyper College,United States,kuyper.edu
La Roche College,United States,laroche.edu
La Salle University,United States,lasalle.edu
La Sierra University,United States,lasierra.edu
Lafayette College,United States,lafayette.edu
Lagrange College,United States,lagrange.edu
Laguna College Of Art And Design,United States,lcad.edu
Lake Erie College,United States,lec.edu
Lake Forest College,United States,lakeforest.edu
Lake Superior State University,United States,lssu.edu
Lakeland University,United States,lakeland.edu
Lamar University,United States,lamar.edu
Lander University,United States,lander.edu
Lane College,United States,lanecollege.edu
Langston University,United States,langston.edu
Lasell College,United States,lasell.edu
Lawrence Technological University,United States,ltu.edu
Lawrence University,United States,lawrence.edu
Le Moyne College,United States,lemoyne.edu
Leavell College Of New Orleans Baptist Theological Seminary,United States,nobts.edu
Lebanon Valley College,United States,lvc.edu
Lee University,United States,leeuniversity.edu
Lees Mcrae College,United States,lmc.edu
Lehigh University,United States,lehigh.edu
Lemoyne Owen College,United States,loc.edu
Lenoir Rhyne University,United States,lr.edu
Lesley University,United States,lesley.edu
Letourneau University,United States,letu.edu
Lewis Clark College,United States,lclark.edu
Lewis Clark State College,United States,lcsc.edu
Lewis University,United States,lewisu.edu
Liberty University,United States,liberty.edu
Life Pacific College,United States,lifepacific.edu
Life University,United States,life.edu
Lim College,United States,limcollege.edu
Limestone College,United States,limestone.edu
Lincoln Christian University,United States,lincolnchristian.edu
Lincoln Memorial University,United States,lmunet.edu
Lincoln University,United States,lincolnuca.edu
Lincoln University,United States,lincoln.edu
Lincoln University,United States,lincolnu.edu
Lindenwood University,United States,lindenwood.edu
Lindsey Wilson College,United States,lindsey.edu
Linfield College,United States,linfield.edu
Lipscomb University,United States,lipscomb.edu
List College Jewish Theological Seminary,United States,jtsa.edu
Livingstone College,United States,livingstone.edu
Lock Haven University Of Pennsylvania,United States,lockhaven.edu
Long Island University Brooklyn Campus,United States,liu.edu
Long Island University Post Campus,United States,liu.edu
Longwood University,United States,longwood.edu
Loras College,United States,loras.edu
Louisiana College,United States,lacollege.edu
Louisiana State University Am Baton Rouge,United States,lsu.edu
Louisiana State University Shreveport,United States,lsus.edu
Louisiana Tech University,United States,latech.edu
Lourdes University,United States,lourdes.edu
Loyola Marymount University,United States,lmu.edu
Loyola University Chicago,United States,luc.edu
Loyola University Maryland,United States,loyola.edu
Loyola University New Orleans,United States,loyno.edu
Lubbock Christian University,United States,lcu.edu
Luther College,United States,luther.edu
Luther Rice College Seminary,United States,lutherrice.edu
Lycoming College,United States,lycoming.edu
Lyme Academy College Of Fine Arts,United States,lymefs.newhaven.edu
Lynn University,United States,lynn.edu
Lyon College,United States,lyon.edu
Macalester College,United States,macalester.edu
Macmurray College,United States,mac.edu
Madonna University,United States,madonna.edu
Maharishi University Of Management,United States,mum.edu
Maine College Art,United States,meca.edu
Maine Maritime Academy,United States,mma.edu
Malone University,United States,malone.edu
Manchester University,United States,manchester.edu
Manhattan Christian College,United States,mccks.edu
Manhattan College,United States,manhattan.edu
Manhattan School Of Music,United States,msmnyc.edu
Manhattanville College,United States,mville.edu
Mansfield University Of Pennsylvania,United States,mansfield.edu
Maranatha Baptist University,United States,mbu.edu
Marian University Indiana,United States,marian.edu
Marian University Wisconsin,United States,marianuniversity.edu
Marietta College,United States,marietta.edu
Marist College,United States,marist.edu
Marlboro College,United States,marlboro.edu
Marquette University,United States,mu.edu
Marquette University,United States,marquette.edu
Mars Hill University,United States,mhu.edu
Marshall University,United States,marshall.edu
Martin Luther College,United States,mlc-wels.edu
Martin Methodist College,United States,martinmethodist.edu
Martin University,United States,martin.edu
Mary Baldwin University,United States,marybaldwin.edu
Mary Immaculate College,United States,mic.ul.ie
Marygrove College,United States,marygrove.edu
Maryland Institute College Art,United States,mica.edu
Marylhurst University,United States,marylhurst.edu
Marymount California University,United States,marymountcalifornia.edu
Marymount Manhattan College,United States,mmm.edu
Marymount University,United States,marymount.edu
Maryville College,United States,maryvillecollege.edu
Maryville University St Louis,United States,maryville.edu
Marywood University,United States,marywood.edu
Massachusetts College Art And Design,United States,massart.edu
Massachusetts College Liberal Arts,United States,mcla.edu
Massachusetts College Pharmacy And Health Sciences Mcphs University,United States,mcphs.edu
Massachusetts Institute Of Technology,United States,mit.edu
Massachusetts Maritime Academy,United States,maritime.edu
Maynooth University Ireland,United States,mu.ie
Mayville State University,United States,mayvillestate.edu
Mcdaniel College,United States,mcdaniel.edu
Mckendree University,United States,mckendree.edu
Mcmurry University,United States,mcm.edu
