College,email,Country
Universidad Privada Los Andes,upla.edu.pe,Peru
Universidad Privada del Norte,upnorte.edu.pe,Peru
Universidad Privada Sergio Bernales,upsb.edu.pe,Peru
Universidad Privada San Juan Bautista,upsjb.edu.pe,Peru
Universidad Privada de Tacna,upt.edu.pe,Peru
Universidad Ricardo Palma,urp.edu.pe,Peru
Universidad Privada San Pedro,usanpedro.edu.pe,Peru
Universidad Católica Santo Toribio de Mogrovejo,usat.edu.pe,Peru
Universidad San Martin de Porres,usmp.edu.pe,Peru
Universidad San Pablo,usp.edu.pe,Peru
Universidad Señor de Sipán,uss.edu.pe,Peru
Universidad Tecnológica de los Andes de Apurímac,utea.edu.pe,Peru
Universidad Tecnológica del Peru,utp.edu.pe,Peru
Universidad Norbert Wiener,uwiener.edu.pe,Peru
Adamson University,adamson.edu.ph,Philippines
Ateneo de Davao University,addu.edu.ph,Philippines
Ateneo de Manila University,admu.edu.ph,Philippines
Ateneo de Naga University,adnu.edu.ph,Philippines
Ateneo de Zamboanga University,adzu.edu.ph,Philippines
Aquinas University,aquinas-university.edu,Philippines
"De La Salle University, Araneta",araneta.dlsu.edu.ph,Philippines
Arellano University,arellano.edu.ph,Philippines
Angeles University,auf.edu.ph,Philippines
Adventist University of the Philippines,aup.edu.ph,Philippines
Araullo University,aupen.edu.ph,Philippines
Bicol University,bicol-u.edu.ph,Philippines
Benguet State University,bsu.edu.ph,Philippines
Bulacan State University,bulsu.edu.ph,Philippines
Centro Escolar University,ceu.edu.ph,Philippines
Central Mindanao University,cmu.edu.ph,Philippines
Central Philippine University,cpuic.edu,Philippines
Cagayan State University,csu.edu.ph,Philippines
Capitol University,cu-cdo.edu.ph,Philippines
Davao Doctors College,davaodoctors.edu.ph,Philippines
De La Salle University,dlsu.edu.ph,Philippines
Don Mariano Marcos Memorial State University,dmmmsu.edu.ph,Philippines
Divine Word College of Legazpi,dwc-legazpi.edu,Philippines
Our Lady of Fatima University,fatima.edu.ph,Philippines
Feati University,featiu.edu.ph,Philippines
Far Eastern University,feu.edu.ph,Philippines
Foundation University,foundationu.com,Philippines
Holy Angel University,hau.edu.ph,Philippines
College of the Holy Spirit,holyspirit.edu.ph,Philippines
Information and Communications Technology Academy,iacademy.ph,Philippines
Isabela State University,isu.edu.ph,Philippines
"Irish University Business School, Cebu",iubs.co.uk,Philippines
Liceo de Cagayan University,ldcu.edu.ph,Philippines
Colegio de San Juan de Letran,letran.edu,Philippines
Leyte Normal University,lnu.evis.net.ph,Philippines
Lyceum of the Philippines University,lpu.edu.ph,Philippines
Leyte State University,lsu-visca.edu.ph,Philippines
Manila Central University,mcu.edu.ph,Philippines
Manuel L. Quezon University,mlqu.edu.ph,Philippines
Mariano Marcos State University,mmsu.edu.ph,Philippines
Manuel S. Enverga University Foundation,mseuf.edu.ph,Philippines
Mindanao State University - Iligan Institute of Technology,msuiit.edu.ph,Philippines
Mindanao State University,msumain.edu.ph,Philippines
Misamis University,mu.fapenet.org,Philippines
Mountain View College,mvc.edu.ph,Philippines
Notre Dame of Marbel University,ndmu.edu.ph,Philippines
Notre Dame University,ndu.fapenet.org,Philippines
New Era University,neu.edu.ph,Philippines
National University,nu.edu.ph,Philippines
Northwestern University of the Philippines,nulaoag.com,Philippines
Philippine Christian University,pcu.edu.ph,Philippines
"University of Perpetual Help, System Dalta",perpetualdalta.edu.ph,Philippines
University of the City of Manila,plm.edu.ph,Philippines
Philippine Military Academy,pma.ph,Philippines
Philippine Normal University,pnumanila.com.ph,Philippines
Pangasinan State University,psu.edu.ph,Philippines
Palawan State University,psu-online.edu.ph,Philippines
Polytechnic University of the Philippines,pup.edu.ph,Philippines
Philippine Women's University,pwu.edu,Philippines
Rizal Technological University,rtu.edu.ph,Philippines
San Beda College,sanbeda.edu.ph,Philippines
Saint Louis College,slc-sflu.edu.ph,Philippines
Saint Louis University,slu.edu.ph,Philippines
Saint Mary's University,smu.edu.ph,Philippines
Saint Paul University,spu.edu.ph,Philippines
Samar State University,ssu.edu.ph,Philippines
Silliman University,su.edu.ph,Philippines
Southwestern University,swu.edu.ph,Philippines
Technological University of the Philippines,tup.edu.ph,Philippines
University of the Assumption,ua.edu.ph,Philippines
University of Asia and the Pacific,uap.edu.ph,Philippines
University of Baguio,ubaguio.edu,Philippines
University of Batangas,ub.edu.ph,Philippines
University of the Cordilleras,uc-bcf.edu.ph,Philippines
University of Cagayan Valley,ucv.edu.ph,Philippines
"University of the East, Coloocan",ue.edu.ph,Philippines
"University of the East, Manila",ue.edu.ph,Philippines
University of Eastern Philippines,uep.educ.ph,Philippines
"University of the East, Ramon Magsaysay Memorial Medical Center",uerm.edu.ph,Philippines
University of the Immaculate Conception,uic.globe.com.ph,Philippines
University of lloilo,ui.phinma.edu.ph,Philippines
University of Mindanao,umindanao.edu.ph,Philippines
University of Nueva Caceres,unc.edu.ph,Philippines
University of Northeastern Philippines,unep.edu.ph,Philippines
University of Bohol,universityofbohol.com,Philippines
University of Cebu,universityofcebu.edu.ph,Philippines
University of Manila,univman.edu.ph,Philippines
University of Negros Occidental-Recoletos,uno-r.edu.ph,Philippines
University of Northern Philippines,unp.edu.ph,Philippines
University of Pangasinan,upang.edu.ph,Philippines
University of the Philippines Baguio,upb.edu.ph,Philippines
University of the Philippines Diliman,upd.edu.ph,Philippines
University of the Philippines Visayas - Cebu High School,uphighschoolcebu.edu.ph,Philippines
University of Perpetual Help,uphr.edu.ph,Philippines
University of the Philippines Los Banos,uplb.edu.ph,Philippines
University of the Philippines Manila,upm.edu.ph,Philippines
University of the Philippines Mindanao,upmin.edu.ph,Philippines
University of the Philippines Open University,upou.org,Philippines
University of the Philippines Visayas,upv.edu.ph,Philippines
University of Regina Carmeli,urc.edu.ph,Philippines
University of San Agustin,usa.edu.ph,Philippines
University of San Carlos,usc.edu.ph,Philippines
University of Southeastern Philippines,usep.edu.ph,Philippines
University of San Jose Recoletos,usjr.edu.ph,Philippines
University of Saint La Salle,usls.edu,Philippines
University of Southern Mindanao,usm.edu.ph,Philippines
University of Southern Philippines Foundation,usp.ph,Philippines
University of Santo Tomas,ust.edu.ph,Philippines
University of the Visayas,uv.edu.ph,Philippines
Virgen Milagrosa University Foundation,vmuf.edu.ph,Philippines
Wesleyan University Philippines,wesleyan.edu.ph,Philippines
Western Mindanao State University,wmsu.edu.ph,Philippines
West Visayas State University,wvsu.edu.ph,Philippines
Central Luzon State University,www2.mozcom.com,Philippines
Tarlac State University,www2.mozcom.com,Philippines
Xavier University,xu.edu.ph,Philippines
"Fine Arts Academy ""Jan Matejko"" in Cracow",149.156.19.10,Poland
Academy of Economics in Katowice,ae.katowice.pl,Poland
Academy of Economics in Cracow,ae.krakow.pl,Poland
Academy of Economics in Poznan,ae.poznan.pl,Poland
Academy of Economics in Wroclaw,ae.wroc.pl,Poland
AGH University of Science and Technology,agh.edu.pl,Poland
Academy of Humanities and Economics in Lodz,ahe.edu.pl,Poland
Medical Academy Ludwik Rydygier in Bydgoszcz,amb.bydgoszcz.pl,Poland
Medical Academy in Bialystok,amb.edu.pl,Poland
Medical Academy in Gdansk,amg.gda.pl,Poland
"Music Academy ""Karol Szymanowski"" in Katowice",am.katowice.pl,Poland
Medical Academy in Lodz,am.lodz.pl,Poland
Medical Academy in Lublin,am.lublin.pl,Poland
Adam Mickiewicz University of Poznan,amu.edu.pl,Poland
"Music Academy ""Felix Nowowiejski"" in Bydgoszcz",amuz.bydgoszcz.pl,Poland
"Music Academy ""Stanislaw Moniuszko"" in Gdansk",amuz.gda.pl,Poland
Music Academy in Cracow,amuz.krakow.pl,Poland
Music Academy in Lodz,amuz.lodz.pl,Poland
"Music Academy ""Ignacy Jana Paderewski"" in Poznan",amuz.poznan.pl,Poland
"Music Academy ""Karol Lipinski"" in Wroclaw",amuz.wroc.pl,Poland
Medical Academy in Warszawa,amwaw.edu.pl,Poland
Medical Academy in Wroclaw,am.wroc.pl,Poland
Polonia University in Czêstochowa,ap.edu.pl,Poland
Akademia Podlaska,ap.siedlce.pl,Poland
Agricultural University of Cracow,ar.krakow.pl,Poland
Agricultural University of Lublin,ar.lublin.pl,Poland
Agricultural University of Szczecin,ar.szczecin.pl,Poland
Agricultural-Technical Academy in Olsztyn,art.olsztyn.pl,Poland
Agricultural University of Wroclaw,ar.wroc.pl,Poland
Fine Arts Academy in Gdansk,asp.gda.pl,Poland
Fine Arts Academy in Katowice,aspkat.edu.pl,Poland
Fine Arts Academy Wladyslaw Strzeminski in Lodz,asp.lodz.pl,Poland
Fine Arts Academy in Poznan,asp.poznan.pl,Poland
Fine Arts Academy in Warsaw,asp.waw.pl,Poland
Fine Arts Academy in Wroclaw,asp.wroc.pl,Poland
Aleksander Zelwerowicz State Theatre Academy,at.edu.pl,Poland
Agricultural University of Poznan,au.poznan.pl,Poland
"Physical Education Academy ""Jozef Pilsudski"" in Warsaw",awf.edu.pl,Poland
"Physical Education Academy ""Jedrzej Sniadecki"" in Gdansk",awf.gda.pl,Poland
Physical Education Academy in Katowice,awf.katowice.pl,Poland
University School of Physical Education,awf.krakow.pl,Poland
"Physical Education Academy ""Eugeniusz Piasecki"" in Poznan",awf.poznan.pl,Poland
Physical Education Academy in Wroclaw,awf.wroc.pl,Poland
"Music Academy ""Fryderyk Chopin"" in Warszaw",chopin.edu.pl,Poland
Collegium Civitas,collegium.edu.pl,Poland
University of Lower Silesia of the Association for the Advancement of Education in Wroclaw.,dswe.wroc.pl,Poland
European Academy of Arts in Warsaw,eas.edu.pl,Poland
"State Film, Television and Theatre Higher School Leon Schiller in Lodz",filmowka.lodz.pl,Poland
Silesian School of Economics and Languages,gallus.pl,Poland
Katowice School of Economics,gwsh.pl,Poland
French Institute of Management,ifg.com.pl,Poland
Andrzej Frycz Modrzewski Cracow College,ksw.edu.pl,Poland
Catholic University of Lublin,kul.lublin.pl,Poland
Lazarski School of Commerce and Law,lazarski.pl,Poland
Technical University of Radom,man.radom.pl,Poland
"Teacher Training College of Revalidation, Rehabilitation and Physical Education",nkrriwf.pl,Poland
Pomeranian Academy of Medicine in Szczecin,pam.szczecin.pl,Poland
Technical University of Bialystok,pb.bialystok.pl,Poland
Technical University of Czestochowa,pcz.czest.pl,Poland
Technical University of Gdansk,pg.gda.pl,Poland
Polish-Japanese Institute of Information Technology in Warsaw,pjwstk.edu.pl,Poland
Technical University of Cracow,pk.edu.pl,Poland
Technical University of Lodz,p.lodz.pl,Poland
Technical University of Lublin,pol.lublin.pl,Poland
Silesian Technical University of Gliwice,polsl.gliwice.pl,Poland
Technical University of Opole,po.opole.pl,Poland
Technical University of Rzeszow,prz.rzeszow.pl,Poland
Pedagogical University of Kielce,pu.kielce.pl,Poland
Poznan University of Life Sciences,puls.edu.pl,Poland
Technical University of Poznan,put.poznan.pl,Poland
Warsaw University of Technology,pw.edu.pl,Poland
Technical University of Wroclaw,pwr.wroc.pl,Poland
Ludwik Solski State Academy of Theatre in Cracow,pwst.krakow.pl,Poland
Walcz College,pwsz.eu,Poland
Staszic Pila College,pwsz.pila.pl,Poland
Technical University of Zielona Gora,pz.zgora.pl,Poland
Christian Theological Academy in Warszaw,qdnet.pl,Poland
Agricultural University of Warsaw,sggw.waw.pl,Poland
Warsaw School of Economics,sgh.waw.pl,Poland
Silesian Academy of Medicine in Katowice,slam.katowice.pl,Poland
Warsaw School of Social Psychology,swps.edu.pl,Poland
Technical University of Kielce,tu.kielce.pl,Poland
Technical University of Koszalin,tu.koszalin.pl,Poland
Technical University of Szczecin,tuniv.szczecin.pl,Poland
Józef Tyszkiewicz College of Business and Computer Science in Bielsko-Biala,tyszkiewicz.edu.pl,Poland
University of Bialystok,ub.edu.pl,Poland
Jagiellonian University Cracow,uj.edu.pl,Poland
Cardinal Stefan Wyszynski University in Warsaw,uksw.edu.pl,Poland
Maria Curie-Sklodowska University Lublin,umcs.lublin.pl,Poland
University of Lodz,uni.lodz.pl,Poland
University of Opole,uni.opole.pl,Poland
Nicolaus Copernicus University of Torun,uni.torun.pl,Poland
University of Gdansk,univ.gda.pl,Poland
Pedagogical University of Rzeszow,univ.rzeszow.pl,Poland
University of Szczecin,univ.szczecin.pl,Poland
University of Wroclaw,uni.wroc.pl,Poland
University of Silesia,us.edu.pl,Poland
Medical Academy Karol Marcinkowski in Poznan,usoms.poznan.pl,Poland
University of Technology and Life Sciences,utp.edu.pl,Poland
University of Warsaw,uw.edu.pl,Poland
University of Wamia and Masuria in Olsztyn,uwm.edu.pl,Poland
Pawel Wlodkowic University College in Plock,wlodkowic.pl,Poland
Higher School o Business/National Louis University(WSB/NLU) in Nowy Sacz,wsb-nlu.edu.pl,Poland
Poznan School of Banking,wsb.poznan.pl,Poland
Higher School o Business in Tarnow,wsb.toi.tarnow.pl,Poland
University of Finance and Management in Bialystok,wsfiz.edu.pl,Poland
Aleksander Gieysztor School of Humanities in Pultusk,wsh.edu.pl,Poland
Ryszard Lazarski University of Commerce and Law in Warsaw,wship.edu.pl,Poland
College of Computer Science in Lodz,wsinf.edu.pl,Poland
Warsaw School of Information Technology,wsisiz.edu.pl,Poland
University of Information Technology and Management in Rzeszow,wsiz.rzeszow.pl,Poland
Gdynia Maritime Academy,wsm.gdynia.pl,Poland
"Academy of International Economic and Political Relations, Gdynia",wsms.edu.pl,Poland
Maritime University in Szczecin,wsm.szczecin.pl,Poland
Pedagogical University of Bydgoszcz,wsp.bydgoszcz.pl,Poland
Pedagogical University of Czestochowa,wsp.czest.pl,Poland
Leon Kozminski Academy of Entrepreneurship and Mangement in Warsaw,wspiz.edu.pl,Poland
Pedagogical University of Krakow,wsp.krakow.pl,Poland
Pedagogical University of Slupsk,wsp.slupsk.pl,Poland
Maria Grzegorzewska College for Special Education,wsps.waw.pl,Poland
Pedagogical University of the Polish Association for Adult Education in Warsaw,wsptwpwaw.edu.pl,Poland
Pedagogical University of Zielona Gora,wsp.zgora.pl,Poland
University of Insurance and Banking in Warsaw,wsub.waw.pl,Poland
School of Banking and Management in Cracow,wszib.krakow.pl,Poland
University of Management and Marketing,wszim.edu.pl,Poland
Gdansk Management College,wsz.pl,Poland
Polish Open University in Warsaw (WSZ/POU),wsz-pou.edu.pl,Poland
West Pomeranian Business School in Szczecin,zpsb.szczecin.pl,Poland
Instituto Superior de Informática e Gestão,cocite.pt,Portugal
Escola Nautica Infante D. Henrique,enautica.pt,Portugal
Escola Superior de Artes e Design,esad.pt,Portugal
Escola Superior de Hotelaria e Turismo do Estoril,eshte.pt,Portugal
European University Portugal,europeanuniversity.pt,Portugal
"Instituto de Artes Visuais, Design e Marketing - IADE",iade.pt,Portugal
Instituto Superior Novas Profissões - INP,inp.pt,Portugal
Instituto Superior D. Afonso III - INUAF,inuaf-studia.pt,Portugal
Instituto Politécnico de Beja,ipbeja.pt,Portugal
Instituto Politécnico de Bragança,ipb.pt,Portugal
Instituto Politécnico do Cávado e do Ave,ipca.pt,Portugal
Instituto Politécnico de Castelo Branco,ipcb.pt,Portugal
Instituto Politécnico de Coimbra,ipc.pt,Portugal
Instituto Politécnico da Guarda,ipg.pt,Portugal
Instituto Piaget,ipiaget.org,Portugal
Instituto Politécnico de Leiria,ipleiria.pt&&&&my.ipleiria.pt,Portugal
Instituto Politécnico de Lisboa,ipl.pt,Portugal
Instituto Politécnico de Portalegre,ipportalegre.pt,Portugal
Instituto Politecnico do Porto,ipp.pt,Portugal
Instituto Politécnico de Santarém,ipsantarem.pt,Portugal
Instituto Politécnico de Setúbal,ips.pt,Portugal
Instituto Politécnico de Tomar,ipt.pt,Portugal
Instituto Politécnico de Viana do Castelo,ipvc.pt,Portugal
Instituto Superior de Assistentes e Intérpretes,isai.pt,Portugal
Instituto Superior de Saúde do Alto Ave,isave.edu.pt,Portugal
Instituto Superior Bissaya Barreto,isbb.pt,Portugal
Instituto Superior de Ciências Empresariais e de Turismo,iscet.pt,Portugal
ISCTE - Instituto Universitário de Lisboa,iscte.pt&&&&iscte-iul.pt,Portugal
Instituto Superior de Gestão - ISG,isg.pt,Portugal
Instituto Superior de Línguas e Administração,isla.pt,Portugal
Instituto Superior de Paços de Brandão,ispab.pt,Portugal
Instituto Superior de Psicologia Aplicada,ispa.pt,Portugal
Instituto Superior Politécnico Gaya,ispgaya.pt,Portugal
Instituto Superior de Tecnologias Avançadas - ISTEC,istec.pt,Portugal
Instituto Superior de Transportes e Comunicações,istp.pt,Portugal
Instituto Superior de Entre Douro e Vouga,isvouga.com,Portugal
Academia Nacional Superior de Orquesta,oml.pt,Portugal
Instituto Superior de Ciências Educativas,pedago.pt,Portugal
Universidade dos Acores,uac.pt,Portugal
Universidade do Algarve,ualg.pt,Portugal
Universidade de Aveiro,ua.pt,Portugal
Universidade Atlântica,uatla.pt,Portugal
Universidade da Beira Interior,ubi.pt,Portugal
Universidade Catolica Portuguesa,ucp.pt,Portugal
Universidade de Coimbra,uc.pt,Portugal
Universidade de Evora,uevora.pt,Portugal
Universidade Fernando Pessoa,ufp.pt,Portugal
Universidade Internacional Lisboa,uinternacional.pt,Portugal
Universidade de Lisboa,ul.pt,Portugal
Universidade Lusiada,ulusiada.pt,Portugal
Universidade Lusófona de Humanidades e Technologias,ulusofona.pt,Portugal
Universidade da Madeira,uma.pt,Portugal
Universidade do Minho,uminho.pt,Portugal
Universidade Moderna de Lisboa,umoderna.pt,Portugal
Universidade Independente,uni.pt,Portugal
Universidade Aberta Lisboa,univ-ab.pt,Portugal
Universidade Autónoma de Lisboa Luís de Camoes,universidade-autonoma.pt,Portugal
Universidade Nova de Lisboa,unl.pt,Portugal
Universidade Portucalense Infante D. Henrique,uportu.pt,Portugal
Universidade do Porto,up.pt,Portugal
Universidade de Tras-os-Montes e Alto Douro,utad.pt,Portugal
Universidade Tecnica de Lisboa,utl.pt,Portugal
"Universidad Interamericana de Puerto Rico, Bayamón",bc.inter.edu,Puerto Rico
Caribbean University,caribbean.edu,Puerto Rico
"Universidad de Puerto Rico, Cayey",cayey.upr.edu,Puerto Rico
Centro de Estudios Avanzados de Puerto Rico y el Caribe,ceaprc.org,Puerto Rico
"Universidad de Puerto Rico, Humacao",cuhupr.clu.edu,Puerto Rico
"Universidad Interamericana de Puerto Rico, Bayamón",interbayamon.edu,Puerto Rico
Universidad Interamericana de Puerto Rico,inter.edu,Puerto Rico
Pontificia Universidad Catolica de Puerto Rico,pucpr.edu,Puerto Rico
"Universidad de Puerto Rico, Ciencias Medicas",rcm.upr.edu,Puerto Rico
Universidad del Sagrado Corazon,sagrado.edu,Puerto Rico
San Juan Bautista School of Medicine,sanjuanbautista.edu,Puerto Rico
"Universidad Interamericana de Puerto Rico, San Germán",sg.inter.edu,Puerto Rico
Sistema Universitario Ana G. Méndez,suagm.edu,Puerto Rico
Universidad Metropolitana,suagm.edu,Puerto Rico
Universidad Central de Bayamón,ucb.edu.pr,Puerto Rico
Universidad Central del Caribe,uccaribe.edu,Puerto Rico
"Universidad de Puerto Rico, Arecibo",upra.edu,Puerto Rico
"Universidad de Puerto Rico, Aguadilla",uprag.edu,Puerto Rico
"Universidad de Puerto Rico, Bayamon",uprb.edu,Puerto Rico
"Universidad de Puerto Rico, Carolina",uprc.edu,Puerto Rico
Universidad de Puerto Rico,upr.clu.edu,Puerto Rico
"Universidad de Puerto Rico, Mayaguez",uprm.edu,Puerto Rico
"Universidad de Puerto Rico, Ponce",upr-ponce.upr.edu,Puerto Rico
"Universidad de Puerto Rico, Rio Pedras",uprrp.edu,Puerto Rico
"Universidad de Puerto Rico, Utuado",uprutuado.edu,Puerto Rico
Universidad del Turabo,ut.pr,Puerto Rico
Northwestern University In Qatar,qatar.northwestern.edu,Qatar
University of Qatar,qu.edu.qa,Qatar
Université de la Reunion,univ-reunion.fr,Réunion
AISTEDA,aistedaab.ro,Romania
"Academy of Music ""Georghe Dima"" Cluj-Napoca",amgd.eu,Romania
National Academy for Physical Education and Sports Bucharest,anefs-edu.ro,Romania
"Academy of Arts ""George Enescu"" Iasi",arteiasi.ro,Romania
Academia de Studii Economice din Bucuresti,ase.ro,Romania
University of Craiova,central.ucv.ro,Romania
Emanuel University,emanuel.ro,Romania
"Institute of Architecture ""Ion Mincu"" Bucharest",iaim.ro,Romania
Academia Tehnica Militara,mta.ro,Romania
University of Medicine and Pharmacology of Oradea,oradeauniversity.com,Romania
Oradea University,oradeauniversity.co,Romania
University of Constanta Medical School,ovidunivconstanta-edu.org,Romania
University Politehnica of Bucharest,pub.ro,Romania
Romanian-American University,rau.ro,Romania
University of Sibiu,sibiu.ro,Romania
National School of Political and Administrative Studies Bucharest,snspa.ro,Romania
Spiru Haret University,spiruharet.ro,Romania
Technical University of Iasi,tuiasi.ro,Romania
1 December University of Alba Iulia,uab.ro,Romania
University of Iasi,uaic.ro,Romania
University of Art and Design Cluj-Napoca,uartdcluj.ro,Romania
Targu-Mures University of Theatre,uat.ro,Romania
"University ""Aurel Vlaicu"" Arad",uav.ro,Romania
Babes-Bolyai University of Cluj-Napoca,ubbcluj.ro,Romania
North University of Baia Mare,ubm.ro,Romania
University of Bacau,ub.ro,Romania
University of Resita,uem.ro,Romania
University of Galatzi,ugal.ro,Romania
University Lucian Blaga of Sibiu,ulbsibiu.ro,Romania
University of Medicine and Pharmacy of Cluj-Napoca,umfcluj.ro,Romania
University of Medicine and Pharmacy of Iasi,umfiasi.ro,Romania
University of Medicine and Pharmacy of Targu Mures,umftgm.ro,Romania
University of Medicine and Pharmacy of Timisoara,umft.ro,Romania
National University of Arts,unarte.ro,Romania
National University of Theater and Film Arts,unatc.ro,Romania
University of Bucharest,unibuc.ro,Romania
"University ""Transilvany"" of Brasov",unitbv.ro,Romania
University of Agriculture and Veterinary Medicine Iasi,univagro-iasi.ro,Romania
Constantin Brancoveanu University Pitesti,univcb.ro,Romania
University of Medicine and Pharmacy of Bucharest,univermed-cdgm.ro,Romania
Maritime University Constanta,universitateamaritima.ro,Romania
University of Constanta,univ-ovidius.ro,Romania
National University of Music,unmb.ro,Romania
University of Oradea,uoradea.ro,Romania
"University ""Petre Andrei"" Iasi",upa.ro,Romania
University of Petrosani,upet.ro,Romania
University Oil- Gas Ploiesti,upg-ploiesti.ro,Romania
University of Pitesti,upit.ro,Romania
Petru Maior University of Targu Mures,upm.ro,Romania
University of Agriculture and Veterinary Medicine Bucharest,usab.ro,Romania
Banat's University of Agricultural Sciences,usab-tm.ro,Romania
University of Agriculture and Veterinary Medicine Timisoara,usab-tm.ro,Romania
University of Agriculture and Veterinary Medicine Cluj-Napoca,usamvcluj.ro,Romania
University of Suceava,usv.ro,Romania
Technical University of Civil Engineering Bucharest,utcb.ro,Romania
Technical University of Cluj-Napoca,utcluj.ro,Romania
University of Targu Jiu,utgjiu.ro,Romania
"University ""Titu Maiorescu""",utm.ro,Romania
Technical University of Timisoara,utt.ro,Romania
West University of Timisoara,uvt.ro,Romania
"Universitatea de Vest ""Vasile Goldi&#351;""",uvvg.ro,Romania
Valahia University of Targoviste,valahia.ro,Romania
St. Petersburg State University of Civil Aviation,academiaga.ru,Russian Federation
Adygeja State University,adygnet.ru,Russian Federation
Khabarovsk State Academy of Economics and Law,ael.ru,Russian Federation
Astrahan State Medical Academy,agma.astranet.ru,Russian Federation
Arhangelsk State Technical University,agtu.ru,Russian Federation
Academy of Management and Entrepreneurship,ame.ru,Russian Federation
Amur State University,amursu.ru,Russian Federation
Volga State Academy of Water Transport,aqua.sci-nnov.ru,Russian Federation
St. Petersburg Repin State Academic Institute of Painting Sculpture and Achitecture,artacademy.spb.ru,Russian Federation
Altai State Medical University,asmu.ru,Russian Federation
Astrakhan State University,aspu.ru,Russian Federation
Astrahan State Technical University,astu.org,Russian Federation
Altai State Technical University,astu.secna.ru,Russian Federation
Altai State University,asu.ru,Russian Federation
Volgograd Medical Academy,avtlg.ru,Russian Federation
Bashkir State Agrarian University,bashedu.ru,Russian Federation
Bashkir State Medical University,bashedu.ru,Russian Federation
Bashkir State University,bashedu.ru,Russian Federation
Birsk State Pedagogical Institute,bashedu.ru,Russian Federation
Sterlitamak State Pedagogical Institute,bashedu.ru,Russian Federation
Ufa State Institute of Arts,bashedu.ru,Russian Federation
Biysk State Padagogical University after V.M. Shukshin,bigpi.biysk.ru,Russian Federation
Bauman Moscow State Technical University,bmstu.ru,Russian Federation
Bratsk State Technical University,brstu.ru,Russian Federation
Belgorod State Agricultural Academy,bsaa.ru,Russian Federation
Bashkir State Pedagogical University named After M. Akmullah,bspu.ru,Russian Federation
Belgorod State Technical University,bstu.ru,Russian Federation
Burjat State University,bsu.burnet.ru,Russian Federation
Belgorod State University,bsu.edu.ru,Russian Federation
Moscow External University of the Humanities,chat.ru,Russian Federation
Chuvash State University,chuvsu.ru,Russian Federation
Novosibirsk State Academy of Economics and Mangement,cit.drbit.com.ru,Russian Federation
Novosibirsk State Music Academy M. Glinka,conservatoire.ru,Russian Federation
St. Petersburg State Conservatory,conservatory.ru,Russian Federation
Cheljabinsk State Institute of Teacher Training,cspi.urc.ac.ru,Russian Federation
Cheljabinsk State University,csu.ac.ru,Russian Federation
Dagestan State University,dgu.ru,Russian Federation
Don State Agrarian University,dongau.ru,Russian Federation
Don State Technical University,dstu.edu.ru,Russian Federation
Far East State Transport University,dvgups.ru,Russian Federation
Far Eastern State University,dvgu.ru,Russian Federation
Ivanovo State Textile Academy,education.ivanovo.ru,Russian Federation
Yelets State University,elsu.ru,Russian Federation
St. Petersburg State Electrotechnical University,eltech.ru,Russian Federation
St. Petersburg State Academy for Engineering Economics (ENGECON),engec.ru,Russian Federation
St. Petersburg State University of Engineering and Economics,engec.ru,Russian Federation
East-Siberian State University of Technology,esstu.ru,Russian Federation
European University at St.Petersburg,eu.spb.ru,Russian Federation
Finance Academy,fa.ru,Russian Federation
Far Eastern State Technical University,festu.ru,Russian Federation
Maxim Gorky Institute of Literature,filine.centro.ru,Russian Federation
St. Petersburg State Forest-Technical Academy,ftacademy.ru,Russian Federation
Gorno-Altaisk State University,gasu.ru,Russian Federation
Russian Academy of Theatre Arts,gitis.net,Russian Federation
State Maritine Academy,gma.ru,Russian Federation
Gnesins Russian Academy of Music,gnesin-academy.ru,Russian Federation
St. Petersburg State Mountain Institut,gorny-ins.ru,Russian Federation
St. Petersburg State Pediatric Medical Academy,gpma.ru,Russian Federation
St. Petersburg State Institute of Technology (Technological University),gti.spb.ru,Russian Federation
St. Petersburg State Technological University of Plant Polymers,gturp.spb.ru,Russian Federation
Gubkin Russian State University of Oil and Gas,gubkin.ru,Russian Federation
St. Petersburg State Cinema and TV University,gukit.ru,Russian Federation
State University of Management,guu.ru,Russian Federation
Herzen State Pedagogical University of Russia,herzen.spb.ru,Russian Federation
Higher School of Economics,hse.ru,Russian Federation
Obninsk State Technical University for Nuclear Power Engineering,iate.obninsk.ru,Russian Federation
Shemyakin–Ovchinnikov Institute of bioorganic chemistry RAS,ibch.ru,Russian Federation
"International Banking Institute, St. Petersburg",ibi.spb.ru,Russian Federation
Institute of Business and Politics,ibp-moscow.ru,Russian Federation
International East-European University,ieeu.udm.ru,Russian Federation
Institute for the Economy in Transition,iet.ru,Russian Federation
ITMO University,ifmo.ru,Russian Federation
Institute of Management and Economy,ime.ru,Russian Federation
State University of Aerospace Technologies,intstudy.mai.ru,Russian Federation
Irkutsk State Academy of Economics,isea.irk.ru,Russian Federation
Baikal National University of Economics and Law,isea.ru,Russian Federation
Ivanovo State Academy of Medicine,isma.indi.ru,Russian Federation
Ivanovo State Power University,ispu.ru,Russian Federation
Irkutsk State Technical University,istu.irk.ru,Russian Federation
Izhevsk State Technical University,istu.ru,Russian Federation
Ivanovo State University of Chemistry and Technology,isuct.ru,Russian Federation
Irkutsk State University,isu.ru,Russian Federation
Yaroslavl International University of Business and New Technologies,iubnt.yar.ru,Russian Federation
"International University of Fundamental Studies, St. Petersburg",iufs.edu,Russian Federation
